level	cols	rows
1	18	22
2	23	28
3	23	28
4	23	28
5	28	35
6	25	31
7	23	28
8	23	28
9	23	28
10	23	28
11	23	28
12	29	37
13	29	37
14	18	22
15	23	28
16	23	28
17	23	28
18	29	32
19	23	28
20	36	44
21	29	35
22	23	28
23	29	37
24	36	44
25	43	52
26	26	32
27	36	44
28	31	38
29	36	44
30	23	28
31	32	19
32	29	37
33	23	28
34	29	37
35	23	28
36	23	28
37	36	44
38	29	37
39	36	44
40	23	28
41	23	28
42	27	34
43	27	34
44	29	37
45	29	37
46	23	28
47	29	37
48	29	35
49	29	37
50	29	35
51	23	28
52	48	59
53	29	37
54	29	35
55	32	38
56	23	28
57	38	46
58	27	34
59	36	44
60	27	34
61	29	37
62	23	28
63	48	59
64	40	49
65	36	44
66	29	37
67	23	28
68	29	37
69	43	52
70	18	22
71	32	40
72	27	34
73	28	35
74	29	35
75	43	52
76	33	40
77	27	34
78	28	35
79	25	31
80	33	42
81	29	37
82	38	49
83	36	44
84	33	40
85	23	28
86	29	24
87	27	34
88	23	28
89	43	52
90	33	42
91	29	37
92	29	37
93	35	42
94	24	29
95	31	37
96	23	28
97	29	37
98	43	52
99	32	40
100	23	12
101	28	35
102	45	55
103	31	37
104	32	38
105	28	35
106	31	38
107	29	37
108	40	49
109	27	34
110	48	59
111	29	35
112	38	46
113	36	44
114	38	49
115	25	30
116	27	34
117	33	42
118	29	37
119	32	38
120	24	29
121	35	42
122	28	34
123	31	38
124	36	44
125	32	40
126	27	34
127	23	28
128	48	59
129	43	52
130	23	28
131	24	29
132	28	35
133	32	38
134	28	35
135	36	44
136	31	37
137	28	35
138	48	59
139	36	44
140	28	35
141	23	28
142	45	55
143	31	37
144	43	52
145	28	34
146	27	32
147	25	30
148	28	34
149	36	44
150	35	44
151	29	37
152	28	35
153	31	38
154	43	52
155	27	34
156	36	44
157	43	52
158	40	49
159	27	34
160	26	32
161	36	44
162	28	35
163	35	42
164	43	52
165	36	44
166	33	42
167	26	31
168	28	34
169	29	37
170	45	55
171	25	31
172	29	37
173	26	32
174	40	49
175	32	40
176	33	42
177	31	38
178	48	59
179	35	42
180	40	49
181	31	38
182	35	44
183	36	44
184	35	44
185	25	30
186	51	63
187	38	46
188	25	31
189	51	63
190	31	38
191	35	42
192	45	55
193	48	59
194	55	63
195	45	55
196	40	52
197	27	32
198	64	68
199	45	55
200	23	10
201	22	10
202	36	25
203	15	19
204	40	49
205	27	34
206	38	46
207	35	44
208	25	31
209	40	16
210	43	52
211	43	52
212	40	49
213	36	44
214	48	59
215	45	55
216	43	52
217	45	55
218	35	42
219	35	42
220	29	37
221	48	59
222	24	29
223	40	49
224	43	52
225	45	55
226	36	44
227	36	44
228	45	55
229	51	63
230	11	29
231	40	49
232	26	18
233	35	42
234	33	42
235	51	63
236	36	44
237	43	52
238	28	34
239	45	55
240	40	52
241	48	46
242	28	17
243	48	59
244	48	59
245	45	55
246	70	44
247	64	80
248	55	63
249	55	63
250	45	55
