level	cols	rows
1	16	16
2	21	20
3	19	17
4	20	19
5	16	17
6	22	20
7	20	19
8	19	16
9	20	19
10	20	19
11	20	19
12	16	16
13	14	14
14	16	16
15	20	19
16	20	19
17	19	19
18	14	15
19	20	19
20	16	18
21	15	16
22	20	21
23	14	16
24	16	15
25	19	18
26	24	18
27	13	16
28	15	19
29	17	18
30	19	19
31	13	18
32	17	17
33	20	20
34	15	15
35	20	19
36	20	19
37	16	19
38	14	15
39	16	17
40	19	19
41	20	19
42	20	16
43	20	15
44	16	18
45	17	15
46	20	19
47	16	16
48	16	16
49	14	18
50	14	12
51	20	19
52	17	17
53	17	15
54	16	17
55	13	21
56	20	19
57	18	18
58	19	16
59	17	18
60	20	15
61	16	14
62	20	19
63	14	17
64	14	19
65	15	16
66	17	17
67	20	19
68	16	16
69	17	16
70	16	16
71	14	19
72	18	16
73	17	18
74	17	20
75	16	19
76	13	19
77	19	17
78	18	15
79	20	22
80	15	16
81	15	15
82	18	16
83	13	18
84	15	19
85	20	19
86	11	15
87	19	15
88	20	19
89	17	15
90	15	17
91	14	15
92	16	14
93	15	16
94	21	20
95	15	19
96	20	20
97	17	17
98	18	18
99	16	18
100	19	20
101	16	16
102	15	17
103	16	17
104	15	19
105	15	14
106	13	16
107	14	15
108	15	15
109	21	16
110	18	20
111	14	16
112	15	18
113	16	17
114	17	18
115	20	20
116	20	15
117	17	19
118	15	15
119	14	18
120	19	22
121	15	18
122	19	21
123	13	19
124	16	17
125	13	14
126	18	20
127	20	21
128	18	19
129	19	19
130	19	19
131	20	20
132	17	16
133	14	17
134	16	14
135	15	17
136	17	18
137	16	15
138	16	19
139	14	16
140	16	16
141	20	17
142	17	18
143	15	16
144	15	21
145	18	18
146	23	17
147	20	22
148	18	19
149	16	19
150	15	16
151	16	16
152	18	17
153	15	17
154	19	20
155	23	17
156	16	19
157	18	20
158	16	17
159	19	18
160	22	17
161	13	15
162	18	17
163	15	16
164	19	18
165	16	18
166	15	16
167	23	16
168	20	18
169	14	17
170	17	17
171	18	21
172	14	19
173	24	19
174	17	19
175	15	17
176	15	18
177	15	16
178	18	19
179	15	19
180	18	18
181	15	15
182	12	17
183	18	15
184	17	20
185	21	23
186	17	21
187	16	16
188	23	21
189	19	19
190	15	17
191	16	17
192	18	17
193	18	20
194	17	15
195	17	19
196	17	20
197	24	18
198	6	18
199	17	18
200	16	19
201	19	20
202	18	17
203	13	19
204	17	17
205	23	17
206	17	15
207	14	15
208	23	20
209	14	15
210	16	17
211	18	18
212	18	16
213	17	16
214	19	15
215	18	19
216	16	17
217	17	19
218	16	16
219	12	17
220	16	18
221	15	18
222	21	22
223	17	19
224	19	20
225	18	19
226	17	19
227	17	17
228	17	20
229	15	20
230	16	19
231	18	19
232	16	17
233	14	16
234	15	16
235	17	20
236	15	14
237	17	16
238	19	16
239	18	21
240	18	18
241	17	20
242	13	14
243	20	21
244	18	18
245	18	19
246	8	14
247	6	13
248	11	14
249	10	13
250	12	15
