level	cols	rows	colors
1	22	18	20
2	29	49	20
3	29	16	22
4	29	49	19
5	35	61	24
6	32	54	12
7	29	49	20
8	29	49	21
9	29	49	22
10	29	47	23
11	29	49	19
12	36	61	22
13	36	61	19
14	22	35	25
15	29	49	24
16	29	49	23
17	29	49	17
18	36	18	16
19	29	49	18
20	45	76	25
21	36	61	21
22	29	49	25
23	36	61	26
24	45	76	25
25	53	90	19
26	33	56	23
27	45	76	21
28	38	66	19
29	45	76	25
30	29	47	20
31	40	11	22
32	36	31	24
33	29	49	20
34	36	63	24
35	29	49	21
36	29	49	24
37	45	76	20
38	36	63	24
39	45	76	22
40	29	49	21
41	29	49	22
42	34	59	25
43	34	59	22
44	36	61	25
45	36	63	25
46	29	49	24
47	36	61	20
48	36	63	18
49	36	63	25
50	36	61	27
51	29	49	24
52	60	102	22
53	36	61	21
54	36	63	22
55	40	66	28
56	26	13	17
57	48	26	12
58	34	59	20
59	45	76	28
60	34	59	19
61	36	61	25
62	29	49	20
63	60	102	22
64	50	85	24
65	45	76	22
66	36	61	22
67	29	49	21
68	36	61	22
69	53	90	23
70	22	38	24
71	40	66	22
72	34	59	22
73	35	61	21
74	36	61	17
75	53	90	24
76	41	73	25
77	34	59	24
78	35	61	25
79	30	54	20
80	41	69	27
81	36	63	25
82	48	85	25
83	45	76	20
84	41	69	26
85	29	49	14
86	36	22	23
87	34	59	22
88	29	49	21
89	53	90	20
90	41	73	25
91	36	61	28
92	36	63	27
93	43	73	27
94	30	51	20
95	38	63	22
96	29	49	19
97	36	61	25
98	53	85	24
99	40	69	21
100	17	14	21
101	35	59	21
102	56	95	22
103	38	63	15
104	40	66	23
105	35	61	24
106	38	66	20
107	36	61	20
108	50	85	27
109	34	59	21
110	60	102	26
111	36	61	21
112	48	80	21
113	45	76	23
114	48	80	20
115	28	51	23
116	34	59	22
117	43	3	21
118	36	61	26
119	40	66	25
120	23	15	19
121	43	73	19
122	35	59	23
123	38	66	25
124	45	76	22
125	40	69	16
126	34	59	23
127	29	49	18
128	60	102	19
129	53	90	24
130	28	47	23
131	30	51	19
132	35	59	28
133	40	66	21
134	35	61	26
135	45	11	23
136	38	63	28
137	35	61	27
138	60	102	20
139	45	76	25
140	35	61	23
141	29	49	25
142	56	95	17
143	38	63	21
144	36	61	22
145	35	59	21
146	33	56	23
147	23	52	22
148	35	59	25
149	45	76	24
150	43	76	24
151	36	63	20
152	35	61	22
153	38	66	24
154	53	90	24
155	34	59	21
156	45	76	20
157	53	90	23
158	50	85	24
159	34	59	22
160	33	56	22
161	45	76	18
162	35	61	19
163	43	73	25
164	53	90	25
165	45	76	24
166	41	69	25
167	33	54	23
168	35	59	25
169	36	63	26
170	56	4	23
171	32	54	17
172	36	63	20
173	33	56	24
174	50	85	26
175	40	69	22
176	41	73	19
177	38	66	21
178	60	102	21
179	43	73	21
180	50	85	22
181	38	66	27
182	43	76	22
183	45	76	20
184	43	76	25
185	30	52	19
186	64	21	23
187	48	80	18
188	32	54	21
189	64	109	19
190	38	66	20
191	43	73	17
192	56	95	19
193	60	102	27
194	68	109	19
195	56	95	21
196	53	90	17
197	34	56	23
198	80	4	27
199	56	95	28
200	17	16	17
201	27	46	19
202	28	11	24
203	19	35	12
204	50	85	24
205	34	59	20
206	48	80	20
207	43	76	24
208	32	54	21
209	50	23	23
210	50	90	21
211	53	61	20
212	50	85	23
213	45	76	16
214	60	102	26
215	56	32	19
216	53	90	20
217	56	95	20
218	43	73	21
219	43	73	24
220	36	63	22
221	60	102	22
222	30	51	26
223	50	85	20
224	53	90	24
225	60	95	24
226	45	76	20
227	45	52	24
228	56	95	22
229	64	109	18
230	19	16	21
231	50	85	22
232	32	5	24
233	43	37	20
234	41	73	17
235	64	109	22
236	45	76	22
237	53	90	25
238	34	59	24
239	56	95	24
240	50	90	15
241	60	15	19
242	17	31	22
243	60	102	18
244	60	95	23
245	56	95	23
246	58	92	23
247	53	92	19
248	42	72	18
249	45	78	15
250	37	63	25
