epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,25.5506,1.68601,0.8,0.96364,0.85294,0.00012726,0.00012726,0.00012726
2,50.1506,0.91715,0.92727,1,0.4542,0.000258391,0.000258391,0.000258391
3,74.5981,0.60901,0.94545,1,0.26474,0.000384122,0.000384122,0.000384122
4,98.8923,0.48376,0.89091,1,0.26827,0.000504453,0.000504453,0.000504453
5,123.188,0.27902,0.92727,1,0.18912,0.000619385,0.000619385,0.000619385
6,147.579,0.28617,0.89091,1,0.28609,0.000728918,0.000728918,0.000728918
7,171.649,0.24298,0.92727,1,0.24149,0.000801011,0.000801011,0.000801011
8,195.983,0.21293,0.94545,1,0.1389,0.000783013,0.000783013,0.000783013
9,221.084,0.19419,0.92727,1,0.13016,0.000765014,0.000765014,0.000765014
10,245.503,0.12448,0.94545,1,0.09336,0.000747016,0.000747016,0.000747016
11,270.031,0.09988,0.98182,1,0.09028,0.000729018,0.000729018,0.000729018
12,294.995,0.10524,0.98182,1,0.07069,0.00071102,0.00071102,0.00071102
13,320.062,0.08399,0.98182,1,0.05851,0.000693022,0.000693022,0.000693022
14,344.816,0.1131,1,1,0.02163,0.000675023,0.000675023,0.000675023
15,369.39,0.16865,0.96364,1,0.08227,0.000657025,0.000657025,0.000657025
16,393.713,0.05821,0.94545,1,0.13072,0.000639027,0.000639027,0.000639027
17,417.793,0.10355,0.92727,1,0.11986,0.000621029,0.000621029,0.000621029
18,441.82,0.09253,0.98182,1,0.08235,0.000603031,0.000603031,0.000603031
19,465.979,0.1044,0.96364,1,0.05377,0.000585032,0.000585032,0.000585032
20,490.068,0.06072,0.94545,1,0.06224,0.000567034,0.000567034,0.000567034
21,514.313,0.09545,0.94545,1,0.1191,0.000549036,0.000549036,0.000549036
22,538.342,0.0901,0.98182,1,0.09034,0.000531038,0.000531038,0.000531038
23,562.398,0.07734,0.98182,1,0.05736,0.00051304,0.00051304,0.00051304
24,586.528,0.06302,0.98182,1,0.08005,0.000495041,0.000495041,0.000495041
25,610.863,0.05701,0.98182,1,0.05653,0.000477043,0.000477043,0.000477043
26,634.795,0.07491,0.98182,1,0.08694,0.000459045,0.000459045,0.000459045
27,658.916,0.06683,0.98182,1,0.09668,0.000441047,0.000441047,0.000441047
28,682.919,0.03898,0.94545,1,0.09334,0.000423049,0.000423049,0.000423049
29,706.782,0.03471,0.96364,1,0.09347,0.00040505,0.00040505,0.00040505
30,731.236,0.05191,0.96364,1,0.04949,0.000387052,0.000387052,0.000387052
31,755.516,0.05337,0.96364,1,0.06081,0.000369054,0.000369054,0.000369054
32,779.893,0.02998,0.96364,1,0.06439,0.000351056,0.000351056,0.000351056
33,804.11,0.07281,0.96364,1,0.06375,0.000333058,0.000333058,0.000333058
34,828.818,0.06535,0.96364,1,0.06377,0.000315059,0.000315059,0.000315059
35,853.101,0.05306,0.96364,1,0.07957,0.000297061,0.000297061,0.000297061
36,877.797,0.03742,0.98182,1,0.05227,0.000279063,0.000279063,0.000279063
37,902.228,0.02813,0.98182,1,0.04252,0.000261065,0.000261065,0.000261065
38,926.592,0.03319,0.98182,1,0.0424,0.000243067,0.000243067,0.000243067
39,950.859,0.04645,0.98182,1,0.08898,0.000225068,0.000225068,0.000225068
40,975.362,0.04102,0.98182,1,0.09671,0.00020707,0.00020707,0.00020707
41,999.551,0.04917,0.98182,1,0.12698,0.000189072,0.000189072,0.000189072
42,1024.1,0.04727,0.98182,1,0.09685,0.000171074,0.000171074,0.000171074
43,1048.43,0.02312,0.98182,1,0.10848,0.000153076,0.000153076,0.000153076
44,1073.38,0.0541,0.96364,1,0.12111,0.000135077,0.000135077,0.000135077
45,1097.46,0.04127,0.94545,1,0.14155,0.000117079,0.000117079,0.000117079
46,1121.64,0.03789,0.96364,1,0.1711,9.9081e-05,9.9081e-05,9.9081e-05
47,1145.89,0.06668,0.98182,1,0.10308,8.10828e-05,8.10828e-05,8.10828e-05
48,1170.19,0.0311,0.98182,1,0.10944,6.30846e-05,6.30846e-05,6.30846e-05
49,1194.11,0.02519,0.98182,1,0.13543,4.50864e-05,4.50864e-05,4.50864e-05
50,1218.37,0.04115,0.98182,1,0.10526,2.70882e-05,2.70882e-05,2.70882e-05
