Loading cell profile: E:\AI\virtual_player\data\pixelflow\profile\cell_profile.json
  Palette: 27 colors
Processing 7722 After images...
  [100/7722] processed=100 errors=0 rate=2.8/s ETA=44.9min
  [200/7722] processed=200 errors=0 rate=2.7/s ETA=46.7min
  [300/7722] processed=300 errors=0 rate=2.7/s ETA=45.6min
  [400/7722] processed=400 errors=0 rate=2.6/s ETA=47.2min
  [500/7722] processed=500 errors=0 rate=2.5/s ETA=48.5min
  [600/7722] processed=600 errors=0 rate=2.4/s ETA=49.0min
  [700/7722] processed=700 errors=0 rate=2.5/s ETA=46.6min
  [800/7722] processed=800 errors=0 rate=2.5/s ETA=46.2min
  [900/7722] processed=900 errors=0 rate=2.5/s ETA=46.0min
  [1000/7722] processed=1000 errors=0 rate=2.5/s ETA=45.7min
  [1100/7722] processed=1100 errors=0 rate=2.5/s ETA=44.9min
  [1200/7722] processed=1200 errors=0 rate=2.4/s ETA=44.5min
  [1300/7722] processed=1300 errors=0 rate=2.4/s ETA=44.0min
  [1400/7722] processed=1400 errors=0 rate=2.5/s ETA=43.0min
  [1500/7722] processed=1500 errors=0 rate=2.5/s ETA=42.1min
  [1600/7722] processed=1600 errors=0 rate=2.4/s ETA=41.8min
  [1700/7722] processed=1700 errors=0 rate=2.4/s ETA=41.0min
  [1800/7722] processed=1800 errors=0 rate=2.4/s ETA=40.4min
  [1900/7722] processed=1900 errors=0 rate=2.5/s ETA=39.6min
  [2000/7722] processed=2000 errors=0 rate=2.5/s ETA=38.5min
  [2100/7722] processed=2100 errors=0 rate=2.5/s ETA=37.6min
  [2200/7722] processed=2200 errors=0 rate=2.5/s ETA=36.9min
  [2300/7722] processed=2300 errors=0 rate=2.5/s ETA=36.2min
  [2400/7722] processed=2400 errors=0 rate=2.5/s ETA=35.5min
  [2500/7722] processed=2500 errors=0 rate=2.5/s ETA=34.8min
  [2600/7722] processed=2600 errors=0 rate=2.5/s ETA=34.0min
  [2700/7722] processed=2700 errors=0 rate=2.5/s ETA=33.7min
  [2800/7722] processed=2800 errors=0 rate=2.5/s ETA=33.2min
  [2900/7722] processed=2900 errors=0 rate=2.5/s ETA=32.4min
  [3000/7722] processed=3000 errors=0 rate=2.5/s ETA=31.6min
  [3100/7722] processed=3100 errors=0 rate=2.5/s ETA=30.9min
  [3200/7722] processed=3200 errors=0 rate=2.5/s ETA=30.4min
  [3300/7722] processed=3300 errors=0 rate=2.5/s ETA=29.9min
  [3400/7722] processed=3400 errors=0 rate=2.5/s ETA=29.2min
  [3500/7722] processed=3500 errors=0 rate=2.5/s ETA=28.5min
  [3600/7722] processed=3600 errors=0 rate=2.5/s ETA=27.8min
  [3700/7722] processed=3700 errors=0 rate=2.5/s ETA=27.0min
  [3800/7722] processed=3800 errors=0 rate=2.5/s ETA=26.4min
  [3900/7722] processed=3900 errors=0 rate=2.5/s ETA=25.8min
  [4000/7722] processed=4000 errors=0 rate=2.5/s ETA=25.3min
  [4100/7722] processed=4100 errors=0 rate=2.4/s ETA=24.7min
  [4200/7722] processed=4200 errors=0 rate=2.5/s ETA=23.9min
  [4300/7722] processed=4300 errors=0 rate=2.5/s ETA=23.2min
  [4400/7722] processed=4400 errors=0 rate=2.5/s ETA=22.5min
  [4500/7722] processed=4500 errors=0 rate=2.5/s ETA=21.9min
  [4600/7722] processed=4600 errors=0 rate=2.5/s ETA=21.2min
  [4700/7722] processed=4700 errors=0 rate=2.5/s ETA=20.4min
  [4800/7722] processed=4800 errors=0 rate=2.5/s ETA=19.7min
  [4900/7722] processed=4900 errors=0 rate=2.5/s ETA=19.0min
  [5000/7722] processed=5000 errors=0 rate=2.5/s ETA=18.2min
  [5100/7722] processed=5100 errors=0 rate=2.5/s ETA=17.5min
  [5200/7722] processed=5200 errors=0 rate=2.5/s ETA=16.9min
  [5300/7722] processed=5300 errors=0 rate=2.5/s ETA=16.2min
  [5400/7722] processed=5400 errors=0 rate=2.5/s ETA=15.5min
  [5500/7722] processed=5500 errors=0 rate=2.5/s ETA=14.8min
  [5600/7722] processed=5600 errors=0 rate=2.5/s ETA=14.2min
  [5700/7722] processed=5700 errors=0 rate=2.5/s ETA=13.5min
  [5800/7722] processed=5800 errors=0 rate=2.5/s ETA=12.8min
  [5900/7722] processed=5900 errors=0 rate=2.5/s ETA=12.2min
  [6000/7722] processed=6000 errors=0 rate=2.5/s ETA=11.5min
  [6100/7722] processed=6100 errors=0 rate=2.5/s ETA=10.8min
  [6200/7722] processed=6200 errors=0 rate=2.5/s ETA=10.1min
  [6300/7722] processed=6300 errors=0 rate=2.5/s ETA=9.4min
  [6400/7722] processed=6400 errors=0 rate=2.5/s ETA=8.7min
  [6500/7722] processed=6500 errors=0 rate=2.5/s ETA=8.1min
  [6600/7722] processed=6600 errors=0 rate=2.5/s ETA=7.4min
  [6700/7722] processed=6700 errors=0 rate=2.5/s ETA=6.7min
  [6800/7722] processed=6800 errors=0 rate=2.5/s ETA=6.1min
  [6900/7722] processed=6900 errors=0 rate=2.5/s ETA=5.4min
  [7000/7722] processed=7000 errors=0 rate=2.5/s ETA=4.7min
  [7100/7722] processed=7100 errors=0 rate=2.5/s ETA=4.1min
  [7200/7722] processed=7200 errors=0 rate=2.5/s ETA=3.4min
  [7300/7722] processed=7300 errors=0 rate=2.5/s ETA=2.8min
  [7400/7722] processed=7400 errors=0 rate=2.5/s ETA=2.1min
  [7500/7722] processed=7500 errors=0 rate=2.5/s ETA=1.5min
  [7600/7722] processed=7600 errors=0 rate=2.5/s ETA=0.8min
  [7700/7722] processed=7700 errors=0 rate=2.5/s ETA=0.1min

Done: 7722 updated, 0 errors in 3030s (50.5min)

=== Delta Summary ===
  Progress (delta<0): 4056
  No change (delta=0): 949
  Regression (delta>0): 2727
  Avg delta: 23.9
